epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.973,1.60236,1.16282,0.9586,0.53794,0.41169,0.41229,0.22913,1.46319,0.98852,0.92822,0.000554291,0.000554291,0.000554291
2,390.234,1.59104,1.02848,0.93957,0.57019,0.45375,0.45548,0.25159,1.42674,0.96343,0.9125,0.00108798,0.00108798,0.00108798
3,582.353,1.58261,1.01122,0.93214,0.5811,0.45104,0.45476,0.25427,1.4089,0.95672,0.91277,0.00159967,0.00159967,0.00159967
4,774.837,1.55141,0.9781,0.92461,0.62174,0.46481,0.48955,0.27799,1.36191,0.91316,0.90166,0.00156798,0.00156798,0.00156798
5,966.321,1.5292,0.95498,0.91997,0.60218,0.48224,0.49143,0.2818,1.34118,0.90365,0.90208,0.00153497,0.00153497,0.00153497
6,1158.03,1.50647,0.93084,0.91567,0.64325,0.48623,0.51165,0.29114,1.33003,0.8442,0.89511,0.00150197,0.00150197,0.00150197
7,1348.76,1.47974,0.90605,0.90805,0.63322,0.48953,0.51225,0.29541,1.31461,0.84651,0.88807,0.00146896,0.00146896,0.00146896
8,1541.86,1.47142,0.89585,0.90372,0.6414,0.50005,0.52221,0.30127,1.29431,0.82995,0.88927,0.00143595,0.00143595,0.00143595
9,1731.43,1.457,0.88149,0.90093,0.63993,0.5093,0.53327,0.30523,1.28862,0.81143,0.8817,0.00140295,0.00140295,0.00140295
10,1923.44,1.43959,0.8693,0.89841,0.6581,0.49092,0.52396,0.29971,1.30278,0.81579,0.88617,0.00136994,0.00136994,0.00136994
11,2115.69,1.43068,0.85791,0.89534,0.66549,0.50173,0.53798,0.31274,1.25857,0.79221,0.88086,0.00133693,0.00133693,0.00133693
12,2309.12,1.4243,0.85175,0.89221,0.66579,0.51729,0.55086,0.31678,1.2695,0.789,0.87872,0.00130393,0.00130393,0.00130393
13,2502.88,1.4258,0.84631,0.89236,0.66063,0.52621,0.55605,0.32261,1.24985,0.78686,0.87456,0.00127092,0.00127092,0.00127092
14,2696.98,1.41139,0.83495,0.89025,0.67136,0.525,0.55841,0.32356,1.25679,0.77769,0.87626,0.00123791,0.00123791,0.00123791
15,2890.18,1.39076,0.82252,0.88667,0.66006,0.53367,0.56018,0.32786,1.23549,0.76793,0.87318,0.00120491,0.00120491,0.00120491
16,3084.97,1.39543,0.82093,0.88623,0.68284,0.53056,0.56292,0.32851,1.23435,0.77282,0.87649,0.0011719,0.0011719,0.0011719
17,3278.26,1.39029,0.81604,0.88535,0.68655,0.52422,0.56212,0.32965,1.23434,0.74929,0.87269,0.00113889,0.00113889,0.00113889
18,3473.7,1.37828,0.81109,0.883,0.66817,0.53514,0.5668,0.33385,1.21418,0.75058,0.87188,0.00110589,0.00110589,0.00110589
19,3677.06,1.38286,0.81039,0.88136,0.67842,0.53976,0.57436,0.33577,1.21727,0.74407,0.86998,0.00107288,0.00107288,0.00107288
20,3868.38,1.35915,0.79615,0.87957,0.68393,0.53617,0.57745,0.33498,1.22001,0.7401,0.87132,0.00103987,0.00103987,0.00103987
21,4061.16,1.35233,0.78885,0.87931,0.69785,0.53309,0.57744,0.33835,1.21501,0.74151,0.87161,0.00100687,0.00100687,0.00100687
22,4253.63,1.3574,0.78696,0.87745,0.69508,0.53827,0.58049,0.33924,1.2158,0.73976,0.86797,0.000973861,0.000973861,0.000973861
23,4445.2,1.35597,0.78395,0.8764,0.69913,0.53726,0.58223,0.34413,1.19606,0.72639,0.86521,0.000940855,0.000940855,0.000940855
24,4636.66,1.34305,0.77857,0.8741,0.70064,0.53691,0.58263,0.34349,1.19783,0.72721,0.86619,0.000907848,0.000907848,0.000907848
25,4830.78,1.33818,0.77214,0.87546,0.67993,0.53969,0.58016,0.33925,1.21003,0.73145,0.86723,0.000874842,0.000874842,0.000874842
26,5027.07,1.33698,0.76976,0.87403,0.69675,0.54729,0.58816,0.34619,1.19539,0.72019,0.86571,0.000841835,0.000841835,0.000841835
27,5219.59,1.32942,0.7627,0.8715,0.68778,0.55902,0.5926,0.34803,1.19307,0.72016,0.86484,0.000808828,0.000808828,0.000808828
28,5412.62,1.33021,0.75725,0.86898,0.68708,0.55213,0.58701,0.34788,1.18885,0.71495,0.86523,0.000775822,0.000775822,0.000775822
29,5605.71,1.3192,0.75037,0.87008,0.70819,0.55056,0.59452,0.35099,1.18036,0.7077,0.86402,0.000742815,0.000742815,0.000742815
30,5799.35,1.31823,0.75327,0.87151,0.69862,0.55395,0.59491,0.35113,1.17989,0.70536,0.86497,0.000709809,0.000709809,0.000709809
31,5993.36,1.31344,0.74909,0.86856,0.70086,0.55612,0.59603,0.35112,1.18011,0.70533,0.8656,0.000676802,0.000676802,0.000676802
32,6185.13,1.30887,0.74179,0.86825,0.69779,0.55755,0.59746,0.35314,1.18099,0.70525,0.86299,0.000643795,0.000643795,0.000643795
33,6379.24,1.30176,0.73512,0.86618,0.70166,0.55481,0.59799,0.35321,1.17968,0.70182,0.86354,0.000610789,0.000610789,0.000610789
34,6571.8,1.30532,0.73458,0.86597,0.70299,0.56195,0.60225,0.35522,1.17135,0.69698,0.86379,0.000577782,0.000577782,0.000577782
35,6764.02,1.29261,0.7289,0.86596,0.69306,0.56146,0.6008,0.35535,1.17671,0.6955,0.86337,0.000544776,0.000544776,0.000544776
36,6956.25,1.3011,0.72967,0.86484,0.70436,0.55659,0.60171,0.35629,1.16824,0.69344,0.86003,0.000511769,0.000511769,0.000511769
37,7148.64,1.29697,0.72766,0.86411,0.70444,0.56328,0.60609,0.35933,1.165,0.69066,0.86011,0.000478762,0.000478762,0.000478762
